Plazo_Renovado,FLAG_VENTA,Nro_Entidades,Dif_Entidades,Meses_oferta,EDAD,Flag_LimProv,Uso_Linea_LOG,Uso_TrimLinea_LOG,Saldo_Consumo_LOG,SUELDO_ESTIMADO_LOG,ANTIGUEDAD_MES_LOG,Linea_Renovado_LOG,Ahorro_LOG,Prestamo_vigente_LOG,Promed_6Mdeuda_LOG,Deuda_Cubierta_LOG,REGION_CALLAO,REGION_CENTRO,REGION_LIMA BALNEARIO,REGION_LIMA CENTRO,REGION_LIMA ESTE,REGION_LIMA MODERNA,REGION_LIMA NORTE,REGION_LIMA PROVINCIA,REGION_LIMA SUR,REGION_NORTE,REGION_OESTE,REGION_ORIENTE,REGION_SIERRA CENTRAL,REGION_SUR,SEXO_F,SEXO_M,EST_CIVIL_C,EST_CIVIL_D,EST_CIVIL_S,EST_CIVIL_U,EST_CIVIL_V,EST_CIVIL_X,EST_CIVIL_Y,Cluster
36,0,4,-2,11.0,34.0,1,0.5078122882273001,0.6459947745322016,9.483471846051005,8.965973184210347,4.882801922586371,8.962007209588313,8.482394685873542,9.001222992395064,10.726609809517818,0.9875242911442217,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
24,0,2,-1,11.0,43.0,1,0.010366085999177162,0.0,9.026641066522265,8.012018239159062,5.19295685089021,9.747359919824648,7.701200180857446,9.733114329258015,8.805025252519158,0.3963382514403758,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
36,0,1,0,21.0,34.0,0,0.0,0.0,8.650700833758725,7.6899293041117325,4.465908118654584,9.472781556562168,3.6635616461296463,9.372714290960442,3.6635616461296463,0.3642770743815099,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2
36,0,4,-3,6.0,25.0,1,0.17814343865443755,0.18608931632654213,8.921103758518072,8.094988759303774,4.143134726391533,8.77971129020447,6.933423025730715,8.28349412616251,8.945984124827898,0.7663511728183614,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
36,0,1,2,21.0,34.0,0,0.0,0.0,9.747867126494187,8.159660737063376,4.787491742782046,10.462274425587943,10.578241611979182,10.470873077735911,11.011332092517815,0.39841833784017316,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2
24,0,3,0,11.017608311466262,33.0,1,0.09153488050343041,0.2216312082997957,9.050430975859038,9.235130540783402,4.3694478524670215,9.210440366976517,8.811503250158239,9.12052506765382,8.077395404124076,0.6163314688629824,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
36,0,2,0,11.0,34.0,0,0.38746745087300793,0.41365349160373033,10.11477590789306,8.750207862525711,4.060443010546419,8.651898894268529,8.798907492088226,8.807022955925477,8.024589425273101,1.6712759154527905,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
48,0,1,1,21.0,34.0,1,0.0,0.0,9.42789875523618,8.537191877922927,4.68213122712422,10.165890277802454,8.326274787396764,10.125310231882922,10.605800928129744,0.3907256811523646,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
18,0,1,-1,19.805906649331412,34.0,0,0.03038661484992699,0.031884251626814936,9.408564805049553,8.795430805040018,5.135798437050262,9.87822102528824,8.923591197573002,10.142858720954989,9.875490945926328,0.48562903920307576,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2
36,0,1,0,21.0,33.0,1,0.0,0.0,7.259109090774661,7.768533300926033,4.219507705176107,8.556606193773073,6.695798917058491,8.038189179973203,9.72877695874351,0.24143523378637613,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
